t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
136567543,0.000,0.022,0.0000,-0.0999,0.0000,-0.0313,0.000,32.34,40.0,3,0
136568542,0.000,0.022,0.0000,-0.0755,0.0000,0.0236,0.000,32.34,40.0,3,0
136569869,0.000,0.022,0.0000,0.0389,0.0000,-0.0236,0.000,32.34,40.0,3,0
136570543,0.000,0.022,0.0000,0.0877,0.0000,0.0445,0.000,32.34,40.0,3,0
136571611,0.000,0.000,0.0000,-0.1884,0.0000,-0.0148,0.000,32.34,40.0,3,0
136572896,0.000,0.022,0.0000,0.1030,0.0000,-0.0027,0.000,32.34,40.0,3,0
136573608,0.000,0.022,0.0000,-0.0191,0.0000,-0.0225,0.000,32.34,40.0,3,0
136574893,0.000,0.000,0.0000,-0.0526,0.0000,-0.0126,0.000,32.34,40.0,3,0
136575574,0.000,0.022,0.0000,0.0832,0.0000,0.0137,0.000,32.34,40.0,3,0
136576899,0.000,0.022,0.0000,0.0420,0.0000,0.0049,0.000,32.34,40.0,3,0
136577646,0.000,0.022,0.0000,0.0221,0.0000,0.0346,0.000,32.34,40.0,3,0
136578548,0.000,0.022,0.0000,0.0542,0.0000,0.0027,0.000,32.34,40.0,3,0
136579866,0.000,0.022,0.0000,0.0801,0.0000,-0.0005,0.000,32.34,40.0,3,0
136580607,0.000,0.022,0.0000,-0.0710,0.0000,0.0181,0.000,32.34,40.0,3,0
136581576,0.000,0.022,0.0000,0.0526,0.0000,0.0049,0.000,32.34,40.0,3,0
136582569,0.000,0.022,0.0000,0.0481,0.0000,0.0148,0.000,32.34,40.0,3,0
136583569,0.000,0.022,0.0000,-0.0893,0.0000,-0.0071,0.000,32.34,40.0,3,0
136584891,0.000,0.022,0.0000,-0.0893,0.0000,0.0104,0.000,32.34,40.0,3,0
136585573,0.000,0.022,0.0000,0.0191,0.0000,-0.0093,0.000,32.34,40.0,3,0
136586575,0.000,0.000,0.0000,0.0038,0.0000,0.0038,0.000,32.34,40.0,3,0
136587569,0.000,0.022,0.0000,0.0893,0.0000,0.0181,0.000,32.34,40.0,3,0
136588570,0.000,0.000,0.0000,-0.0374,0.0000,0.0302,0.000,32.34,40.0,3,0
136589893,0.000,0.022,0.0000,-0.0359,0.0000,0.0082,0.000,32.34,40.0,3,0
