t_s,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp
20.108,200,200.317,0,0.0481,0,-0.1357,-0.018,32.2,38
20.138,200,200.317,0,0.106,0,-0.072,-0.018,32.2,38
20.149,200,200.317,0,-0.016,0,-0.1049,-0.018,32.2,38
20.159,200,200.317,0,-0.0511,0,-0.117,-0.018,32.2,38
20.191,200,200.317,0,0.0633,0,-0.128,-0.018,32.2,38
20.202,200,200.317,0,-0.0221,0,-0.1236,-0.018,32.2,38
20.23,200,200.317,0,-0.0175,0,-0.1137,-0.018,32.2,38
20.233,200,200.317,0,-0.1244,0,-0.0851,-0.018,32.2,38
20.235,200,200.317,0,-0.0343,0,-0.1621,-0.018,32.2,38
20.242,200,200.317,0,-0.1625,0,-0.1203,-0.018,32.2,38
20.252,200,200.317,0,-0.1671,0,-0.1368,-0.018,32.2,38
20.29,200,200.317,0,-0.0832,0,-0.1192,-0.018,32.2,38
20.301,200,200.317,0,0.1381,0,-0.0906,-0.018,32.2,38
20.311,200,200.317,0,-0.0557,0,-0.1181,-0.018,32.2,38
20.341,200,200.317,0,0.0572,0,-0.0972,-0.018,32.2,38
20.352,200,200.317,0,0.0237,0,-0.1038,-0.018,32.2,38
20.362,200,200.317,0,-0.1045,0,-0.1434,-0.018,32.2,38
20.393,200,200.317,0,-0.0847,0,-0.1027,-0.018,32.2,38
20.404,200,200.317,0,-0.0923,0,-0.1082,-0.018,32.2,38
20.414,200,200.317,0,0.0496,0,-0.1016,-0.018,32.2,38
20.444,200,200.317,0,-0.0084,0,-0.1126,-0.018,32.2,38
20.456,200,200.317,0,0.0999,0,-0.1203,-0.018,32.2,38
20.465,200,200.317,0,0.0603,0,-0.1104,-0.018,32.2,38
20.501,200,200.317,0,-0.045,0,-0.1225,-0.018,32.2,38
20.512,200,200.317,0,-0.0038,0,-0.1511,-0.018,32.2,38
20.546,200,200.317,0,-0.045,0,-0.095,-0.018,32.2,38
20.557,200,200.317,0,0.0984,0,-0.1313,-0.018,32.2,38
20.567,200,200.339,0,0.0343,0,-0.1005,-0.018,32.2,38
20.598,200,200.339,0,0.1259,0,-0.1082,-0.018,32.2,38
20.609,200,200.317,0,0.0267,0,-0.0709,-0.018,32.2,38
20.619,200,200.317,0,0.0618,0,-0.106,-0.018,32.2,38
20.65,200,200.317,0,-0.0664,0,-0.0818,-0.018,32.2,38
20.661,200,200.317,0,-0.0435,0,-0.117,-0.018,32.2,38
20.671,200,200.317,0,-0.0069,0,-0.1302,-0.018,32.2,38
20.701,200,200.317,0,-0.0343,0,-0.1247,-0.018,32.2,38
20.712,200,200.317,0,0.074,0,-0.1027,-0.018,32.2,38
20.722,200,200.317,0,0.0755,0,-0.1016,-0.018,32.2,38
20.753,200,200.317,0,0.0496,0,-0.1038,-0.018,32.2,38
20.764,200,200.317,0,0.0786,0,-0.106,-0.018,32.2,38
20.773,200,200.317,0,0.1167,0,-0.1203,-0.018,32.2,38
20.807,200,200.317,0,0.0328,0,-0.1324,-0.018,32.2,38
20.818,200,200.317,0,0.042,0,-0.128,-0.018,32.2,38
20.854,200,200.317,0,0.0114,0,-0.0939,-0.018,32.2,38
20.865,200,200.317,0,0.013,0,-0.1203,-0.018,32.2,38
20.904,200,200.317,0,-0.0267,0,-0.1005,-0.018,32.2,38
20.915,200,200.317,0,-0.0481,0,-0.0906,-0.018,32.2,38
20.954,200,200.317,0,-0.0389,0,-0.1093,-0.018,32.2,38
20.965,200,200.317,0,0.0114,0,-0.0862,-0.018,32.2,38
21.004,200,200.317,0,0.0908,0,-0.1115,-0.018,32.2,38
21.015,200,200.317,0,0.0923,0,-0.1456,-0.018,32.2,38
21.054,200,200.317,0,0.1106,0,-0.0829,-0.018,32.2,38
21.065,200,200.317,0,0.0099,0,-0.0698,-0.018,32.2,38
21.104,200,200.317,0,-0.0313,0,-0.0983,-0.018,32.2,38
21.115,200,200.317,0,0.0694,0,-0.161,-0.018,32.2,38
21.143,200,200.317,0,0.0298,0,-0.0961,-0.018,32.2,38
21.146,200,200.317,0,0.0069,0,-0.1115,-0.018,32.2,38
21.148,200,200.317,0,-0.0038,0,-0.0961,-0.018,32.2,38
21.156,200,200.317,0,-0.0175,0,-0.128,-0.018,32.2,38
21.166,200,200.317,0,0.0984,0,-0.1192,-0.018,32.2,38
21.204,200,200.317,0,0.0191,0,-0.1203,-0.018,32.2,38
